Municipio,total_casos,casos_abertos,casos_baixados,prob_aberto_media,casos_alto_risco_aberto
Americana,280,27,253,0.0957,0
Amparo,253,26,227,0.11,4
Analândia,283,11,272,0.043,0
Araraquara,175,8,167,0.0506,0
Araras,277,9,268,0.0404,0
Araçoiaba Da Serra,109,13,96,0.1208,0
Araçoiaba da Serra,1,0,1,0.0215,0
Araçoiaba da Serra ,1,1,0,0.7366,1
Artur Nogueira,228,17,211,0.084,0
Atibaia,158,12,146,0.0758,0
Barretos,182,174,8,0.924,172
Bom Jesus Dos Perdões,266,38,228,0.1378,0
Brotas,190,26,164,0.1483,2
Campinas,91,2,89,0.0423,0
Capivari,373,47,326,0.1402,2
Catanduva,87,38,49,0.3749,10
Cerquilho,71,14,57,0.1693,0
Cordeirópolis,158,9,149,0.0617,0
Corumbataí,132,4,128,0.0355,0
Cosmópolis,125,32,93,0.2412,2
Dois Córregos,225,75,150,0.3219,12
Dois Córregos ,1,0,1,0.0102,0
Engenheiro Coelho,217,127,90,0.586,76
Guaíra,1,0,1,0.0037,0
Holambra,145,2,143,0.032,0
Holambra ,1,0,1,0.1052,0
Ibaté,254,99,155,0.3692,12
Indaiatuba,146,13,133,0.0963,2
Ipeúna,228,69,159,0.2864,24
Iracemápolis,249,22,227,0.0957,0
Iracemápolis ,1,1,0,0.0029,0
Itapira,50,5,45,0.0953,0
Itirapina,152,19,133,0.1311,0
Itu,245,111,134,0.4425,51
Jaboticabal,199,31,168,0.1699,3
Jaguariúna,219,26,193,0.1043,0
Jumirim,58,1,57,0.0526,0
Jundiaí,196,4,192,0.0305,0
Leme,88,9,79,0.105,0
Limeira,43,6,37,0.1328,0
Lindoia,2,2,0,0.6275,0
Louveira,258,58,200,0.2226,5
Luiz Antônio,27,2,25,0.1204,0
Macaubal,38,38,0,0.9248,38
Matão,48,48,0,0.9044,48
Mogi Das Cruzes,72,26,46,0.3259,6
Mogi Guaçu,319,82,237,0.2545,31
Mogi Mirim,127,8,119,0.0678,0
Monte Alegre Do Sul,301,104,197,0.3456,44
Monte Alegre do Sul,1,0,1,0.0032,0
Nova Odessa,72,20,52,0.2756,0
Olímpia,177,41,136,0.2263,6
Orlândia,234,86,148,0.3667,10
Paraibuna,133,20,113,0.1588,0
Pedreira,468,82,386,0.1796,9
Pedreira ,1,0,1,0.0083,0
Piracicaba,260,17,243,0.0637,0
Pirassununga,111,5,106,0.0633,0
Pirassununga ,1,0,1,0.0032,0
Porto Feliz,147,14,133,0.0944,0
Rafard,210,40,170,0.1886,2
Ribeirão Preto,492,88,404,0.1717,15
Rio Claro,250,53,197,0.1943,1
Rio Das Pedras,338,132,206,0.3946,81
Saltinho,97,0,97,0.023,0
Salto,331,3,328,0.0183,0
Santa Bárbara D'Oeste,231,0,231,0.0137,0
Santa Cruz Das Palmeiras,96,27,69,0.2684,1
Santa Rita Do Passa Quatro,77,4,73,0.0788,0
Santo Antônio De Posse,209,15,194,0.0791,1
Santo Antônio de Posse,1,0,1,0.3086,0
Santo Antônio de Posse ,1,1,0,0.7549,1
Serrana,147,83,64,0.5337,42
Sertãozinho,137,10,127,0.0809,0
Sorocaba,312,13,299,0.0384,0
Sumaré,212,9,203,0.0567,0
São Carlos,303,48,255,0.1489,1
São José do Rio Pardo,188,159,29,0.8387,159
São José do Rio Preto,13,5,8,0.3441,0
São José do Rio Preto ,106,75,31,0.7017,57
São Pedro,241,12,229,0.0623,0
São Simão,39,33,6,0.7514,28
Tambaú,95,12,83,0.0893,0
Tietê,384,21,363,0.0592,10
Valinhos,180,2,178,0.0265,0
Vinhedo,260,53,207,0.1955,1
Votorantim,58,15,43,0.2555,0
