Municipio,total_casos,casos_abertos,casos_baixados,casos_vencidos,prob_vencido_media
Americana,280,27,230,23,0.08
Amparo,253,26,224,3,0.02
Analândia,283,11,261,11,0.03
Araçoiaba Da Serra,111,14,78,19,0.13
Araraquara,175,8,167,0,0.01
Araras,277,9,185,83,0.28
Artur Nogueira,228,17,210,1,0.01
Atibaia,158,12,146,0,0.01
Barretos,182,174,8,0,0.01
Bom Jesus Dos Perdões,266,38,217,11,0.04
Brotas,190,26,145,19,0.1
Campinas,91,2,88,1,0.03
Capivari,373,47,314,12,0.04
Catanduva,87,38,49,0,0.01
Cerquilho,71,14,51,6,0.07
Cordeirópolis,158,9,145,4,0.03
Corumbataí,132,4,128,0,0.01
Cosmópolis,125,32,76,17,0.12
Dois Córregos,226,75,107,44,0.19
Engenheiro Coelho,217,127,56,34,0.14
Guaíra,1,0,0,1,0.13
Holambra,146,2,144,0,0.01
Ibaté,254,99,145,10,0.04
Indaiatuba,146,13,133,0,0.01
Ipeúna,228,69,158,1,0.01
Iracemápolis,250,23,200,27,0.1
Itapira,50,5,36,9,0.19
Itirapina,152,19,122,11,0.07
Itu,245,111,85,49,0.19
Jaboticabal,199,31,110,58,0.28
Jaguariúna,219,26,188,5,0.03
Jumirim,58,1,57,0,0.02
Jundiaí,196,4,188,4,0.01
Leme,88,9,78,1,0.02
Limeira,43,6,33,4,0.09
Lindoia,2,2,0,0,0.02
Louveira,258,58,200,0,0.01
Luiz Antônio,27,2,23,2,0.04
Macaubal,38,38,0,0,0.01
Matão,48,48,0,0,0.02
Mogi Das Cruzes,72,26,46,0,0.02
Mogi Guaçu,319,82,211,26,0.09
Mogi Mirim,127,8,117,2,0.02
Monte Alegre Do Sul,302,104,170,28,0.08
Nova Odessa,72,20,52,0,0.01
Olímpia,177,41,136,0,0.01
Orlândia,234,86,63,85,0.34
Paraibuna,133,20,110,3,0.03
Pedreira,469,82,381,6,0.02
Piracicaba,260,17,234,9,0.03
Pirassununga,112,5,107,0,0.01
Porto Feliz,147,14,131,2,0.02
Rafard,210,40,163,7,0.03
Ribeirão Preto,492,88,400,4,0.01
Rio Claro,250,53,124,73,0.3
Rio Das Pedras,338,132,86,120,0.33
Saltinho,97,0,70,27,0.27
Salto,331,3,191,137,0.39
Santa Bárbara D'Oeste,231,0,231,0,0.01
Santa Cruz Das Palmeiras,96,27,67,2,0.03
Santa Rita Do Passa Quatro,77,4,73,0,0.02
Santo Antônio De Posse,211,16,175,20,0.09
São Carlos,303,48,230,25,0.07
São José do Rio Pardo,188,159,24,5,0.03
São José do Rio Preto ,119,80,38,1,0.02
São Pedro,241,12,220,9,0.04
São Simão,39,33,6,0,0.02
Serrana,147,83,46,18,0.1
Sertãozinho,137,10,127,0,0.01
Sorocaba,312,13,295,4,0.01
Sumaré,212,9,201,2,0.02
Tambaú,95,12,11,72,0.7
Tietê,384,21,294,69,0.18
Valinhos,180,2,178,0,0.01
Vinhedo,260,53,205,2,0.02
Votorantim,58,15,41,2,0.04
