Municipio,Cluster,total_nao_conformidades,top_codigo_1,freq_codigo_1,top_codigo_2,freq_codigo_2,top_codigo_3,freq_codigo_3
Americana,0,280,EEE-7.4,20,EEA-4.7,19,RES-6.3,19
Amparo,0,253,RES-6.11,24,RES-6.2,20,CG-9.38.4,14
Analândia,0,283,CG-9.38.4,56,CG-9.38.2,15,CSB-2.11,11
Araraquara,0,175,CG-9.38.4,16,RES-6.2,13,RES-6.3,13
Araras,0,277,RES-6.11,25,RES-6.7,21,RES-6.3,19
Araçoiaba Da Serra,0,109,CG-9.37.1,7,RES-6.10,7,RES-6.4,6
Araçoiaba da Serra,0,1,CG-9.37.1,1,ADU-1.1,0,CG-9.1,0
Araçoiaba da Serra ,2,1,CG-9.37,1,ADU-1.1,0,CG-9.1,0
Artur Nogueira,0,228,RES-6.7,18,CSB-2.2,14,CSB-2.3,14
Atibaia,0,158,EEA-4.5,15,EEA-4.4,14,RES-6.2,10
Barretos,0,182,RES-6.2,10,ETE-8.13,7,RES-6.10,6
Bom Jesus Dos Perdões,0,266,RES-6.2,17,CG-9.38.8,12,CG-9.38.4,11
Brotas,0,190,RES-6.9,13,CG-9.38.4,12,CSB-2.4,9
Campinas,0,91,RES-6.4,10,EEE-7.9,8,EEE-7.4,7
Capivari,0,373,CSB-2.3,40,CSB-2.5,18,CSB-2.6,17
Catanduva,0,87,RES-6.7,8,CSB-2.14,7,RES-6.9,7
Cerquilho,0,71,RES-6.2,9,EEA-4.5,6,EEE-7.4,5
Cordeirópolis,0,158,CG-9.38.4,19,RES-6.3,10,RES-6.10,10
Corumbataí,0,132,CG-9.38.4,24,RES-6.11,7,CG-9.37.1,6
Cosmópolis,0,125,EEE-7.4,9,RES-6.3,7,EEE-7.3,6
Dois Córregos,0,225,RES-6.2,16,CG-9.38.4,13,RES-6.11,11
Dois Córregos ,0,1,CG-9.38.9,1,ADU-1.1,0,CG-9.1,0
Engenheiro Coelho,0,217,RES-6.11,12,CSB-2.14,11,CSB-2.3,10
Guaíra,1,1,CG-9.38.4,1,ADU-1.1,0,CG-9.1,0
Holambra,0,145,CG-9.38.4,13,RES-6.9,12,RES-6.14,6
Holambra ,0,1,RES-6.9,1,ADU-1.1,0,CG-9.1,0
Ibaté,0,254,CSB-2.11,13,CSB-2.6,12,RES-6.11,12
Indaiatuba,0,146,RES-6.9,25,RES-6.2,14,EEA-4.7,9
Ipeúna,0,228,CG-9.38.4,52,EEE-7.4,8,CSB-2.2,7
Iracemápolis,0,249,CG-9.38.4,26,CG-9.38.2,16,EEE-7.12,8
Iracemápolis ,1,1,CG-9.38.4,1,ADU-1.1,0,CG-9.1,0
Itapira,0,50,CG-9.38.10,3,EEE-7.4,3,EEE-7.6,3
Itirapina,0,152,CG-9.38.4,13,RES-6.3,11,CSB-2.12,9
Itu,0,245,CG-9.37.1,38,EEE-7.4,18,EEE-7.6,18
Jaboticabal,0,199,RES-6.11,14,CG-9.37.1,12,RES-6.2,12
Jaguariúna,0,219,RES-6.2,17,EEE-7.6,16,RES-6.11,13
Jumirim,0,58,CG-9.38.4,12,CSB-2.2,6,EEE-7.6,3
Jundiaí,0,196,EEA-4.5,30,RES-6.2,24,EEA-4.4,23
Leme,0,88,CG-9.38.8,5,RES-6.2,5,RES-6.9,5
Limeira,0,43,CG-9.37.1,8,EEE-7.4,5,RES-6.3,5
Lindoia,0,2,CG-9.1,1,CG-9.40,1,ADU-1.2,0
Louveira,0,258,RES-6.2,28,RES-6.7,19,RES-6.11,16
Luiz Antônio,0,27,RES-6.9,3,CSB-2.12,2,CSB-2.2,2
Macaubal,0,38,CG-9.16,1,CG-9.12,1,CG-9.15,1
Matão,0,48,CSB-2.14,9,RES-6.7,4,RES-6.3,4
Mogi Das Cruzes,0,72,RES-6.2,5,EEA-4.5,4,EEE-7.6,4
Mogi Guaçu,0,319,RES-6.7,18,RES-6.2,18,RES-6.3,13
Mogi Mirim,0,127,EEE-7.6,9,EEA-4.4,9,RES-6.3,6
Monte Alegre Do Sul,0,301,CG-9.38.4,47,RES-6.2,21,RES-6.4,11
Monte Alegre do Sul,1,1,CG-9.38.4,1,ADU-1.1,0,CG-9.1,0
Nova Odessa,0,72,RES-6.2,6,CG-9.38.4,5,EEE-7.6,5
Olímpia,0,177,CSB-2.4,19,RES-6.2,18,CSB-2.3,17
Orlândia,0,234,RES-6.14,24,CSB-2.15,19,RES-6.9,18
Paraibuna,0,133,RES-6.11,15,CSB-2.11,8,CSB-2.4,6
Pedreira,0,468,RES-6.11,49,RES-6.2,39,RES-6.4,24
Pedreira ,3,1,CG-9.38.3,1,ADU-1.1,0,CG-9.1,0
Piracicaba,0,260,RES-6.2,49,RES-6.9,28,CG-9.37.1,22
Pirassununga,0,111,RES-6.3,13,RES-6.2,12,EEE-7.6,10
Pirassununga ,1,1,CG-9.38.4,1,ADU-1.1,0,CG-9.1,0
Porto Feliz,0,147,RES-6.9,14,EEE-7.3,12,EEE-7.4,12
Rafard,0,210,CG-9.38.4,28,CSB-2.3,16,CSB-2.2,14
Ribeirão Preto,0,492,CSB-2.3,53,RES-6.9,42,RES-6.14,24
Rio Claro,0,250,RES-6.2,25,RES-6.1,23,RES-6.7,20
Rio Das Pedras,0,338,CG-9.38.4,24,CSB-2.2,12,CSB-2.4,11
Saltinho,0,97,CG-9.38.4,15,CSB-2.11,4,CSB-2.6,4
Salto,0,331,RES-6.2,25,RES-6.9,23,RES-6.7,15
Santa Bárbara D'Oeste,0,231,RES-6.2,28,RES-6.4,19,RES-6.9,19
Santa Cruz Das Palmeiras,0,96,RES-6.7,10,RES-6.2,9,RES-6.9,9
Santa Rita Do Passa Quatro,0,77,CG-9.38.4,7,RES-6.7,7,RES-6.9,6
Santo Antônio De Posse,0,209,CG-9.38.4,10,CSB-2.11,8,RES-6.9,7
Santo Antônio de Posse,0,1,ETE-8.13,1,ADU-1.1,0,CG-9.1,0
Santo Antônio de Posse ,2,1,CG-9.37,1,ADU-1.1,0,CG-9.1,0
Serrana,0,147,CSB-2.3,16,CSB-2.2,14,RES-6.11,14
Sertãozinho,0,137,CSB-2.16,12,RES-6.7,10,CSB-2.3,8
Sorocaba,0,312,EEE-7.4,34,EEE-7.6,24,RES-6.2,24
Sumaré,0,212,RES-6.4,17,ETE-8.5,16,ETE-8.17,14
São Carlos,0,303,RES-6.3,21,EEE-7.4,16,EEE-7.5,15
São José do Rio Pardo,0,188,RES-6.2,15,RES-6.10,12,RES-6.11,11
São José do Rio Preto,0,13,CG-9.11,1,CG-9.12,1,CG-9.15,1
São José do Rio Preto ,0,106,CSB-2.3,13,RES-6.4,12,RES-6.13,11
São Pedro,0,241,CG-9.38.4,20,CSB-2.2,18,RES-6.2,15
São Simão,0,39,CSB-2.14,6,CSB-2.2,5,RES-6.9,5
Tambaú,0,95,RES-6.11,4,CG-9.38.2,2,CSP-3.5,2
Tietê,0,384,CSB-2.11,36,CSB-2.3,34,CG-9.38.4,29
Valinhos,0,180,EEE-7.6,14,EEA-4.4,13,RES-6.2,12
Vinhedo,0,260,EEE-7.6,22,RES-6.4,18,RES-6.2,18
Votorantim,0,58,RES-6.9,10,RES-6.7,9,RES-6.10,7
