Municipio,total_nao_conformidades,top_codigo_1,freq_codigo_1,top_codigo_2,freq_codigo_2,top_codigo_3,freq_codigo_3
Americana,279,EEA-4.7,19,EEE-7.4,19,RES-6.3,19
Amparo,239,RES-6.11,14,RES-6.2,14,CG-9.38.4,14
Analândia,235,CG-9.38.4,11,CG-9.38.2,11,CSB-2.11,11
Araçoiaba Da Serra,108,CG-9.37.1,6,RES-6.10,6,RES-6.4,6
Araraquara,172,CG-9.38.4,13,RES-6.2,13,RES-6.3,13
Araras,270,RES-6.11,19,RES-6.7,19,RES-6.3,19
Artur Nogueira,224,CSB-2.3,14,CSB-2.2,14,RES-6.7,14
Atibaia,150,EEA-4.5,10,EEA-4.4,10,RES-6.2,10
Barretos,177,ETE-8.13,6,RES-6.2,6,RES-6.10,6
Bom Jesus Dos Perdões,259,CG-9.38.8,11,RES-6.2,11,CG-9.38.4,11
Brotas,184,CG-9.38.4,9,RES-6.9,9,CSB-2.4,9
Campinas,87,RES-6.4,7,EEE-7.9,7,EEE-7.4,7
Capivari,349,CSB-2.5,17,CSB-2.3,17,CSB-2.6,17
Catanduva,86,RES-6.7,7,CSB-2.14,7,RES-6.9,7
Cerquilho,66,RES-6.2,5,EEA-4.5,5,EEE-7.4,5
Cordeirópolis,149,CG-9.38.4,10,RES-6.3,10,RES-6.10,10
Corumbataí,113,CG-9.38.4,6,RES-6.11,6,CG-9.37.1,6
Cosmópolis,121,RES-6.3,6,EEE-7.4,6,EEE-7.3,6
Dois Córregos,220,CG-9.38.4,11,RES-6.2,11,RES-6.11,11
Engenheiro Coelho,214,RES-6.11,10,CSB-2.14,10,CSB-2.3,10
Guaíra,0,ADU-1.1,0,ADU-1.2,0,CG-9.1,0
Holambra,134,CG-9.38.4,7,RES-6.9,7,RES-6.14,6
Ibaté,253,CSB-2.11,12,CSB-2.6,12,RES-6.11,12
Indaiatuba,127,RES-6.9,9,RES-6.2,9,EEA-4.7,9
Ipeúna,182,CG-9.38.4,7,EEE-7.4,7,CSB-2.2,7
Iracemápolis,225,CG-9.38.4,9,CG-9.38.2,9,EEE-7.12,8
Itapira,50,CG-9.38.10,3,EEE-7.4,3,EEE-7.6,3
Itirapina,147,CG-9.38.4,9,RES-6.3,9,CSB-2.12,9
Itu,225,CG-9.37.1,18,EEE-7.4,18,EEE-7.6,18
Jaboticabal,197,CG-9.37.1,12,RES-6.2,12,RES-6.7,12
Jaguariúna,213,RES-6.2,13,EEE-7.6,13,RES-6.11,13
Jumirim,47,CG-9.38.4,3,CSB-2.2,3,EEE-7.6,3
Jundiaí,188,RES-6.2,23,EEA-4.5,23,EEA-4.4,23
Leme,88,CG-9.38.8,5,RES-6.2,5,RES-6.9,5
Limeira,40,CG-9.37.1,5,EEE-7.4,5,RES-6.3,5
Lindoia,0,CG-9.1,0,CG-9.40,0,ADU-1.2,0
Louveira,244,RES-6.7,16,RES-6.2,16,RES-6.11,16
Luiz Antônio,26,CSB-2.2,2,CSB-2.12,2,RES-6.7,2
Macaubal,38,CG-9.16,1,CG-9.12,1,CG-9.15,1
Matão,43,RES-6.7,4,CSB-2.14,4,RES-6.3,4
Mogi Das Cruzes,71,EEE-7.6,4,EEA-4.5,4,RES-6.2,4
Mogi Guaçu,311,RES-6.7,13,RES-6.2,13,RES-6.3,13
Mogi Mirim,122,EEE-7.6,6,EEA-4.4,6,RES-6.3,6
Monte Alegre Do Sul,258,CG-9.38.4,12,RES-6.2,12,RES-6.4,11
Nova Odessa,71,CG-9.38.4,5,EEE-7.6,5,RES-6.9,5
Olímpia,174,RES-6.2,17,CSB-2.4,17,CSB-2.3,17
Orlândia,227,RES-6.14,18,CSB-2.15,18,RES-6.9,18
Paraibuna,123,CSB-2.11,6,RES-6.11,6,CSB-2.4,6
Pedreira,434,RES-6.11,26,RES-6.2,26,RES-6.4,24
Piracicaba,229,RES-6.9,22,RES-6.2,22,CG-9.37.1,22
Pirassununga,108,RES-6.3,10,RES-6.2,10,EEE-7.6,10
Porto Feliz,145,EEE-7.4,12,EEE-7.3,12,RES-6.9,12
Rafard,195,CG-9.38.4,14,CSB-2.3,14,CSB-2.2,14
Ribeirão Preto,450,RES-6.9,26,CSB-2.3,26,RES-6.14,24
Rio Claro,243,RES-6.1,20,RES-6.2,20,RES-6.7,20
Rio Das Pedras,324,CG-9.38.4,11,CSB-2.2,11,CSB-2.4,11
Saltinho,86,CSB-2.11,4,CG-9.38.4,4,CSB-2.6,4
Salto,315,RES-6.9,16,RES-6.2,16,RES-6.7,15
Santa Bárbara D'Oeste,222,RES-6.2,19,RES-6.9,19,RES-6.4,19
Santa Cruz Das Palmeiras,95,RES-6.2,9,RES-6.9,9,RES-6.7,9
Santa Rita Do Passa Quatro,75,CG-9.38.4,6,RES-6.7,6,RES-6.9,6
Santo Antônio De Posse,207,CSB-2.11,7,CG-9.38.4,7,RES-6.9,7
São Carlos,296,RES-6.3,15,EEE-7.4,15,EEE-7.5,15
São José do Rio Pardo,183,RES-6.10,11,RES-6.2,11,RES-6.11,11
São José do Rio Preto ,116,RES-6.4,11,CSB-2.3,11,RES-6.13,11
São Pedro,234,CG-9.38.4,15,CSB-2.2,15,RES-6.2,15
São Simão,38,CSB-2.2,5,CSB-2.14,5,RES-6.9,5
Serrana,145,CSB-2.3,14,CSB-2.2,14,RES-6.11,14
Sertãozinho,132,RES-6.7,8,CSB-2.16,8,CSB-2.3,8
Sorocaba,302,EEE-7.6,24,EEE-7.4,24,RES-6.2,24
Sumaré,208,ETE-8.5,14,RES-6.4,14,ETE-8.17,14
Tambaú,93,CG-9.38.2,2,CG-9.37.1,2,ETA-5.11,2
Tietê,374,CSB-2.11,29,CSB-2.3,29,CG-9.38.4,29
Valinhos,177,EEE-7.6,12,EEA-4.4,12,RES-6.2,12
Vinhedo,256,RES-6.4,18,EEE-7.6,18,RES-6.2,18
Votorantim,54,RES-6.7,7,RES-6.9,7,RES-6.10,7
