Municipio,historico_total,historico_12m,previsao_12m,previsao_24m,previsao_48m,tendencia
Americana,247,1,20,41,83,crescente
Amparo,178,14,16,32,64,crescente
Analândia,271,2,22,45,91,crescente
Araçoiaba Da Serra,90,18,7,15,30,decrescente
Araraquara,172,1,14,29,58,crescente
Araras,261,0,22,44,88,crescente
Artur Nogueira,150,1,1,2,4,decrescente
Atibaia,146,0,12,24,49,crescente
Barretos,71,2,6,12,24,crescente
Bom Jesus Dos Perdões,186,31,15,31,62,decrescente
Brotas,169,13,12,24,50,decrescente
Campinas,83,0,7,14,28,crescente
Capivari,342,70,148,296,592,crescente
Catanduva,70,14,5,11,23,decrescente
Cerquilho,52,8,8,16,31,estável
Cordeirópolis,138,0,11,23,46,crescente
Corumbataí,129,0,10,21,43,crescente
Cosmópolis,110,1,9,18,37,crescente
Dois Córregos,180,0,15,30,61,crescente
Engenheiro Coelho,171,45,0,0,0,decrescente
Guaíra,0,0,0,0,0,estável
Holambra,119,19,19,39,78,crescente
Ibaté,219,1,9,19,45,crescente
Indaiatuba,140,5,11,23,47,crescente
Ipeúna,216,59,19,39,77,decrescente
Iracemápolis,240,2,20,40,81,crescente
Itapira,47,0,3,7,15,crescente
Itirapina,152,0,12,25,51,crescente
Itu,208,34,17,35,70,decrescente
Jaboticabal,129,2,10,21,43,crescente
Jaguariúna,211,9,17,35,71,crescente
Jumirim,34,1,2,5,11,crescente
Jundiaí,158,2,13,26,53,crescente
Leme,83,4,4,8,15,decrescente
Limeira,38,4,4,8,16,estável
Lindoia,0,0,0,0,0,estável
Louveira,239,0,20,40,80,crescente
Luiz Antônio,8,1,0,1,2,decrescente
Macaubal,1,1,0,0,0,decrescente
Matão,0,0,0,0,0,estável
Mogi Das Cruzes,38,14,3,6,12,decrescente
Mogi Guaçu,276,64,18,37,79,decrescente
Mogi Mirim,102,0,8,17,34,crescente
Monte Alegre Do Sul,279,0,23,47,94,crescente
Nova Odessa,65,10,4,9,19,decrescente
Olímpia,46,23,3,7,15,decrescente
Orlândia,146,11,10,20,40,decrescente
Paraibuna,115,1,5,12,28,crescente
Pedreira,434,73,73,146,292,crescente
Piracicaba,246,27,20,41,83,decrescente
Pirassununga,100,2,2,4,8,decrescente
Porto Feliz,129,2,10,21,43,crescente
Rafard,183,12,12,24,48,decrescente
Ribeirão Preto,473,62,62,124,248,decrescente
Rio Claro,199,7,16,33,67,crescente
Rio Das Pedras,299,38,18,37,79,decrescente
Saltinho,61,0,5,10,20,crescente
Salto,313,2,26,52,105,crescente
Santa Bárbara D'Oeste,205,0,17,34,69,crescente
Santa Cruz Das Palmeiras,5,1,0,0,1,decrescente
Santa Rita Do Passa Quatro,72,0,6,12,24,crescente
Santo Antônio De Posse,133,16,16,32,64,decrescente
São Carlos,278,41,41,82,164,decrescente
São José do Rio Pardo,90,36,36,72,145,crescente
São José do Rio Preto ,72,0,6,12,24,crescente
São Pedro,215,3,0,0,0,decrescente
São Simão,0,0,0,0,0,estável
Serrana,96,24,8,16,32,decrescente
Sertãozinho,98,1,8,16,33,crescente
Sorocaba,287,14,28,57,110,crescente
Sumaré,188,15,15,31,63,crescente
Tambaú,67,0,5,11,22,crescente
Tietê,285,21,28,55,107,crescente
Valinhos,138,2,20,38,71,crescente
Vinhedo,239,42,23,46,90,decrescente
Votorantim,45,9,9,18,36,decrescente
